namespace	id	display_name	rarity	max_stack
minecraft	air	Air	COMMON	64
minecraft	stone	Stone	COMMON	128
minecraft	granite	Granite	COMMON	128
minecraft	polished_granite	Polished Granite	COMMON	128
minecraft	diorite	Diorite	COMMON	128
minecraft	polished_diorite	Polished Diorite	COMMON	128
minecraft	andesite	Andesite	COMMON	128
minecraft	polished_andesite	Polished Andesite	COMMON	128
minecraft	deepslate	Deepslate	COMMON	128
minecraft	cobbled_deepslate	Cobbled Deepslate	COMMON	128
minecraft	polished_deepslate	Polished Deepslate	COMMON	128
minecraft	calcite	Calcite	COMMON	128
minecraft	tuff	Tuff	COMMON	128
minecraft	dripstone_block	Dripstone Block	COMMON	128
minecraft	grass_block	Grass Block	COMMON	128
minecraft	dirt	Dirt	COMMON	128
minecraft	coarse_dirt	Coarse Dirt	COMMON	128
minecraft	podzol	Podzol	COMMON	128
minecraft	rooted_dirt	Rooted Dirt	COMMON	128
minecraft	mud	Mud	COMMON	128
minecraft	crimson_nylium	Crimson Nylium	COMMON	128
minecraft	warped_nylium	Warped Nylium	COMMON	128
minecraft	cobblestone	Cobblestone	COMMON	128
minecraft	oak_planks	Oak Planks	COMMON	128
minecraft	spruce_planks	Spruce Planks	COMMON	128
minecraft	birch_planks	Birch Planks	COMMON	128
minecraft	jungle_planks	Jungle Planks	COMMON	128
minecraft	acacia_planks	Acacia Planks	COMMON	128
minecraft	cherry_planks	Cherry Planks	COMMON	128
minecraft	dark_oak_planks	Dark Oak Planks	COMMON	128
minecraft	mangrove_planks	Mangrove Planks	COMMON	128
minecraft	bamboo_planks	Bamboo Planks	COMMON	128
minecraft	crimson_planks	Crimson Planks	COMMON	128
minecraft	warped_planks	Warped Planks	COMMON	128
minecraft	bamboo_mosaic	Bamboo Mosaic	COMMON	128
minecraft	oak_sapling	Oak Sapling	COMMON	128
minecraft	spruce_sapling	Spruce Sapling	COMMON	128
minecraft	birch_sapling	Birch Sapling	COMMON	128
minecraft	jungle_sapling	Jungle Sapling	COMMON	128
minecraft	acacia_sapling	Acacia Sapling	COMMON	128
minecraft	cherry_sapling	Cherry Sapling	COMMON	128
minecraft	dark_oak_sapling	Dark Oak Sapling	COMMON	128
minecraft	mangrove_propagule	Mangrove Propagule	COMMON	128
minecraft	bedrock	Bedrock	COMMON	128
minecraft	sand	Sand	COMMON	128
minecraft	suspicious_sand	Suspicious Sand	COMMON	128
minecraft	suspicious_gravel	Suspicious Gravel	COMMON	128
minecraft	red_sand	Red Sand	COMMON	128
minecraft	gravel	Gravel	COMMON	128
minecraft	coal_ore	Coal Ore	COMMON	128
minecraft	deepslate_coal_ore	Deepslate Coal Ore	COMMON	128
minecraft	iron_ore	Iron Ore	COMMON	128
minecraft	deepslate_iron_ore	Deepslate Iron Ore	COMMON	128
minecraft	copper_ore	Copper Ore	COMMON	128
minecraft	deepslate_copper_ore	Deepslate Copper Ore	COMMON	128
minecraft	gold_ore	Gold Ore	COMMON	128
minecraft	deepslate_gold_ore	Deepslate Gold Ore	COMMON	128
minecraft	redstone_ore	Redstone Ore	COMMON	128
minecraft	deepslate_redstone_ore	Deepslate Redstone Ore	COMMON	128
minecraft	emerald_ore	Emerald Ore	COMMON	128
minecraft	deepslate_emerald_ore	Deepslate Emerald Ore	COMMON	128
minecraft	lapis_ore	Lapis Lazuli Ore	COMMON	128
minecraft	deepslate_lapis_ore	Deepslate Lapis Lazuli Ore	COMMON	128
minecraft	diamond_ore	Diamond Ore	COMMON	128
minecraft	deepslate_diamond_ore	Deepslate Diamond Ore	COMMON	128
minecraft	nether_gold_ore	Nether Gold Ore	COMMON	128
minecraft	nether_quartz_ore	Nether Quartz Ore	COMMON	128
minecraft	ancient_debris	Ancient Debris	COMMON	128
minecraft	coal_block	Block of Coal	COMMON	128
minecraft	raw_iron_block	Block of Raw Iron	COMMON	128
minecraft	raw_copper_block	Block of Raw Copper	COMMON	128
minecraft	raw_gold_block	Block of Raw Gold	COMMON	128
minecraft	amethyst_block	Block of Amethyst	COMMON	128
minecraft	budding_amethyst	Budding Amethyst	COMMON	128
minecraft	iron_block	Block of Iron	COMMON	128
minecraft	copper_block	Block of Copper	COMMON	128
minecraft	gold_block	Block of Gold	COMMON	128
minecraft	diamond_block	Block of Diamond	COMMON	128
minecraft	netherite_block	Block of Netherite	COMMON	128
minecraft	exposed_copper	Exposed Copper	COMMON	128
minecraft	weathered_copper	Weathered Copper	COMMON	128
minecraft	oxidized_copper	Oxidized Copper	COMMON	128
minecraft	cut_copper	Cut Copper	COMMON	128
minecraft	exposed_cut_copper	Exposed Cut Copper	COMMON	128
minecraft	weathered_cut_copper	Weathered Cut Copper	COMMON	128
minecraft	oxidized_cut_copper	Oxidized Cut Copper	COMMON	128
minecraft	cut_copper_stairs	Cut Copper Stairs	COMMON	128
minecraft	exposed_cut_copper_stairs	Exposed Cut Copper Stairs	COMMON	128
minecraft	weathered_cut_copper_stairs	Weathered Cut Copper Stairs	COMMON	128
minecraft	oxidized_cut_copper_stairs	Oxidized Cut Copper Stairs	COMMON	128
minecraft	cut_copper_slab	Cut Copper Slab	COMMON	128
minecraft	exposed_cut_copper_slab	Exposed Cut Copper Slab	COMMON	128
minecraft	weathered_cut_copper_slab	Weathered Cut Copper Slab	COMMON	128
minecraft	oxidized_cut_copper_slab	Oxidized Cut Copper Slab	COMMON	128
minecraft	waxed_copper_block	Waxed Block of Copper	COMMON	128
minecraft	waxed_exposed_copper	Waxed Exposed Copper	COMMON	128
minecraft	waxed_weathered_copper	Waxed Weathered Copper	COMMON	128
minecraft	waxed_oxidized_copper	Waxed Oxidized Copper	COMMON	128
minecraft	waxed_cut_copper	Waxed Cut Copper	COMMON	128
minecraft	waxed_exposed_cut_copper	Waxed Exposed Cut Copper	COMMON	128
minecraft	waxed_weathered_cut_copper	Waxed Weathered Cut Copper	COMMON	128
minecraft	waxed_oxidized_cut_copper	Waxed Oxidized Cut Copper	COMMON	128
minecraft	waxed_cut_copper_stairs	Waxed Cut Copper Stairs	COMMON	128
minecraft	waxed_exposed_cut_copper_stairs	Waxed Exposed Cut Copper Stairs	COMMON	128
minecraft	waxed_weathered_cut_copper_stairs	Waxed Weathered Cut Copper Stairs	COMMON	128
minecraft	waxed_oxidized_cut_copper_stairs	Waxed Oxidized Cut Copper Stairs	COMMON	128
minecraft	waxed_cut_copper_slab	Waxed Cut Copper Slab	COMMON	128
minecraft	waxed_exposed_cut_copper_slab	Waxed Exposed Cut Copper Slab	COMMON	128
minecraft	waxed_weathered_cut_copper_slab	Waxed Weathered Cut Copper Slab	COMMON	128
minecraft	waxed_oxidized_cut_copper_slab	Waxed Oxidized Cut Copper Slab	COMMON	128
minecraft	oak_log	Oak Log	COMMON	128
minecraft	spruce_log	Spruce Log	COMMON	128
minecraft	birch_log	Birch Log	COMMON	128
minecraft	jungle_log	Jungle Log	COMMON	128
minecraft	acacia_log	Acacia Log	COMMON	128
minecraft	cherry_log	Cherry Log	COMMON	128
minecraft	dark_oak_log	Dark Oak Log	COMMON	128
minecraft	mangrove_log	Mangrove Log	COMMON	128
minecraft	mangrove_roots	Mangrove Roots	COMMON	128
minecraft	muddy_mangrove_roots	Muddy Mangrove Roots	COMMON	128
minecraft	crimson_stem	Crimson Stem	COMMON	128
minecraft	warped_stem	Warped Stem	COMMON	128
minecraft	bamboo_block	Block of Bamboo	COMMON	128
minecraft	stripped_oak_log	Stripped Oak Log	COMMON	128
minecraft	stripped_spruce_log	Stripped Spruce Log	COMMON	128
minecraft	stripped_birch_log	Stripped Birch Log	COMMON	128
minecraft	stripped_jungle_log	Stripped Jungle Log	COMMON	128
minecraft	stripped_acacia_log	Stripped Acacia Log	COMMON	128
minecraft	stripped_cherry_log	Stripped Cherry Log	COMMON	128
minecraft	stripped_dark_oak_log	Stripped Dark Oak Log	COMMON	128
minecraft	stripped_mangrove_log	Stripped Mangrove Log	COMMON	128
minecraft	stripped_crimson_stem	Stripped Crimson Stem	COMMON	128
minecraft	stripped_warped_stem	Stripped Warped Stem	COMMON	128
minecraft	stripped_oak_wood	Stripped Oak Wood	COMMON	128
minecraft	stripped_spruce_wood	Stripped Spruce Wood	COMMON	128
minecraft	stripped_birch_wood	Stripped Birch Wood	COMMON	128
minecraft	stripped_jungle_wood	Stripped Jungle Wood	COMMON	128
minecraft	stripped_acacia_wood	Stripped Acacia Wood	COMMON	128
minecraft	stripped_cherry_wood	Stripped Cherry Wood	COMMON	128
minecraft	stripped_dark_oak_wood	Stripped Dark Oak Wood	COMMON	128
minecraft	stripped_mangrove_wood	Stripped Mangrove Wood	COMMON	128
minecraft	stripped_crimson_hyphae	Stripped Crimson Hyphae	COMMON	128
minecraft	stripped_warped_hyphae	Stripped Warped Hyphae	COMMON	128
minecraft	stripped_bamboo_block	Block of Stripped Bamboo	COMMON	128
minecraft	oak_wood	Oak Wood	COMMON	128
minecraft	spruce_wood	Spruce Wood	COMMON	128
minecraft	birch_wood	Birch Wood	COMMON	128
minecraft	jungle_wood	Jungle Wood	COMMON	128
minecraft	acacia_wood	Acacia Wood	COMMON	128
minecraft	cherry_wood	Cherry Wood	COMMON	128
minecraft	dark_oak_wood	Dark Oak Wood	COMMON	128
minecraft	mangrove_wood	Mangrove Wood	COMMON	128
minecraft	crimson_hyphae	Crimson Hyphae	COMMON	128
minecraft	warped_hyphae	Warped Hyphae	COMMON	128
minecraft	oak_leaves	Oak Leaves	COMMON	128
minecraft	spruce_leaves	Spruce Leaves	COMMON	128
minecraft	birch_leaves	Birch Leaves	COMMON	128
minecraft	jungle_leaves	Jungle Leaves	COMMON	128
minecraft	acacia_leaves	Acacia Leaves	COMMON	128
minecraft	cherry_leaves	Cherry Leaves	COMMON	128
minecraft	dark_oak_leaves	Dark Oak Leaves	COMMON	128
minecraft	mangrove_leaves	Mangrove Leaves	COMMON	128
minecraft	azalea_leaves	Azalea Leaves	COMMON	128
minecraft	flowering_azalea_leaves	Flowering Azalea Leaves	COMMON	128
minecraft	sponge	Sponge	COMMON	128
minecraft	wet_sponge	Wet Sponge	COMMON	128
minecraft	glass	Glass	COMMON	128
minecraft	tinted_glass	Tinted Glass	COMMON	128
minecraft	lapis_block	Block of Lapis Lazuli	COMMON	128
minecraft	sandstone	Sandstone	COMMON	128
minecraft	chiseled_sandstone	Chiseled Sandstone	COMMON	128
minecraft	cut_sandstone	Cut Sandstone	COMMON	128
minecraft	cobweb	Cobweb	COMMON	128
minecraft	grass	Grass	COMMON	128
minecraft	fern	Fern	COMMON	128
minecraft	azalea	Azalea	COMMON	128
minecraft	flowering_azalea	Flowering Azalea	COMMON	128
minecraft	dead_bush	Dead Bush	COMMON	128
minecraft	seagrass	Seagrass	COMMON	128
minecraft	sea_pickle	Sea Pickle	COMMON	128
minecraft	white_wool	White Wool	COMMON	128
minecraft	orange_wool	Orange Wool	COMMON	128
minecraft	magenta_wool	Magenta Wool	COMMON	128
